subnet;subnetmask;sitename
10.10.0.0;255.255.248.0;NA - UNITED STATES - INDIANAPOLIS OFFICES - 9587
10.10.10.0;255.255.248.0;NA - UNITED STATES - INDIANAPOLIS OFFICES - 9587
10.10.20.0;255.255.248.0;NA - UNITED STATES - INDIANAPOLIS OFFICES - 9587
10.10.30.0;255.255.248.0;NA - UNITED STATES - INDIANAPOLIS OFFICES - 9587
10.10.40.0;255.255.248.0;NA - UNITED STATES - INDIANAPOLIS OFFICES - 9587
10.10.50.0;255.255.248.0;NA - UNITED STATES - INDIANAPOLIS OFFICES - 9587
192.10.0.0;255.255.255.224;NA - UNITED STATES - LAFAYETTE DATA CENTER - 9625
192.20.0.0;255.255.255.240;NA - UNITED STATES - INDIANAPOLIS OFFICES - 9587
192.30.0.0;255.255.255.0;NA - UNITED STATES - LAFAYETTE DATA CENTER-BDC - 9625
69.168.10.0;255.255.255.248;NA - UNITED STATES - EMERYVILLE SALES OFFICE - 9117
69.168.20.0;255.255.255.0;NA - UNITED STATES - WASHINGTON DC OFFICE - 9680
69.168.30.0;255.255.255.248;NA - UNITED STATES - DETROIT SALES OFFICE - 9125
72.16.0.0;255.255.255.248;NA - CANADA - TORONTO - 9397
192.168.24.0;255.255.255.0;NA - UNITED STATES - BATESVILLE OFFICE - BIN22107